tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
2,198,0.5454545454545454,0.3383838383838384,0.35353535353535354,0.30808080808080807,0.5252525252525253,0.22727272727272727,0.14646464646464646,0.04040404040404041,0.06060606060606061,0.12121212121212122,0.15656565656565657,0.1919191919191919,0.1919191919191919
3,11398,0.4731531847692578,0.22381119494648183,0.5567643446218635,0.21942446043165467,0.5255307948762941,0.3602386383576066,0.08536585365853659,0.01052816283558519,0.01833655027197754,0.12405685207931216,0.17854009475346552,0.2339006843305843,0.23969117389015618
4,12318,0.4972398116577366,0.3028900795583699,0.5212696866374411,0.17584023380418898,0.6704822211397954,0.16747848676733235,0.1291605780159117,0.009904205228121448,0.022974508848839097,0.11162526384153272,0.15091735671375223,0.19418736807923365,0.24037993180711154
5,10751,0.5158589898614082,0.20035345549251232,0.5633894521439866,0.23625709236350106,0.8848479211236164,0.04315877592782067,0.061017579760022325,0.0033485257185378106,0.007627197470002791,0.07366756580783183,0.15124174495395779,0.22937401171984,0.34536322202585806
6,6729,0.4884826868776936,0.20939218308812602,0.5486699360974885,0.2419378808143855,0.7568732352504087,0.10060930301679298,0.12156338237479566,0.007876356070738595,0.01307772328726408,0.08649130628622381,0.15633823747956604,0.22856293654331997,0.31921533660276413
7,43048,0.5028805054822524,0.2735783311652109,0.5641609366288793,0.16226073220590967,0.7623582977141795,0.09233878461252555,0.11879762125998886,0.007758780895744286,0.01874651551756179,0.09124698011522021,0.14662702099981417,0.19691971752462367,0.291627950195131
8,152,0.5394736842105263,0.21710526315789475,0.5263157894736842,0.2565789473684211,0.5723684210526315,0.16447368421052633,0.17105263157894737,0.039473684210526314,0.05263157894736842,0.13157894736842105,0.18421052631578946,0.16447368421052633,0.3026315789473684
9,8526,0.48944405348346237,0.17663617171006332,0.55981703026038,0.26354679802955666,0.5850340136054422,0.04773633591367581,0.3450621627961529,0.0063335679099225895,0.015833919774806474,0.10684963640628665,0.15071545859723198,0.21721792165141918,0.3485808116349988
10,14397,0.45426130443842466,0.2155310134055706,0.5573383343752171,0.22713065221921233,0.26977842606098495,0.6342293533375009,0.06654164061957352,0.011599638813641731,0.01785094116829895,0.13870945335833854,0.19886087379315134,0.25206640272278946,0.19483225672015003
11,11391,0.48011588095865154,0.20024580809410938,0.5687823720481081,0.23097181985778245,0.6487577912386973,0.07040646124133088,0.25520147484856465,0.00842770608375033,0.017206566587656923,0.10253709068562901,0.1607409358265297,0.21227284698446142,0.32420331840927047
