OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,capacity,lat,lon,name,short_name,station_id,DDLat,DDLon,ORIG_OID,OBJECTID_1,Shape_Leng,zone,LocationID,borough,taxi_R_OBJECTID,taxi_R_tz,taxi_R_total,taxi_R_male,taxi_R_age_under_29,taxi_R_age_30_54,taxi_R_age_55_over,taxi_R_white,taxi_R_black,taxi_R_asian,taxi_R_others,taxi_R_two_or_more,taxi_R_less_high_school,taxi_R_high_school,taxi_R_college,taxi_R_bachelor,taxi_W_OBJECTID,taxi_W_tz,taxi_W_total,taxi_W_male,taxi_W_age_under_29,taxi_W_age_30_54,taxi_W_age_55_over,taxi_W_white,taxi_W_black,taxi_W_asian,taxi_W_others,taxi_W_two_or_more,taxi_W_less_high_school,taxi_W_high_school,taxi_W_college,taxi_W_bachelor,nyu_2451_34513_statefp,nyu_2451_34513_countyfp,nyu_2451_34513_tractce,nyu_2451_34513_geoid,nyu_2451_34513_name,nyu_2451_34513_namelsad,nyu_2451_34513_mtfcc,nyu_2451_34513_funcstat,nyu_2451_34513_aland,nyu_2451_34513_awater,nyu_2451_34513_intptlat,nyu_2451_34513_intptlon,nyu_2451_34513_ct,census_csv_CensusTract,census_csv_County,census_csv_Borough,census_csv_Income,census_csv_IncomePerCap,census_csv_Drive,census_csv_Carpool,census_csv_Transit,census_csv_Walk,census_csv_OtherTransp,census_csv_WorkAtHome,census_csv_MeanCommute,census_csv_Employed,census_csv_PrivateWork,census_csv_PublicWork,census_csv_SelfEmployed,census_csv_FamilyWork,census_csv_Unemployment
1,1,1,1,1,37,40.722174440000003,-73.983687790000005,E 2 St & Avenue B,5515.020000000000437,301,40.72218270N,073.98368923W,1,79,0.042624911314400,East Village,79,Manhattan,78,79,23766,0.503408230244888,0.335984179079357,0.501262307498107,0.162753513422536,0.792560801144492,0.065471682235126,0.116216443659009,0.005974922157704,0.019776150803669,0.069258604729445,0.120929058318606,0.176512665151898,0.297315492720693,76,79,26074,0.469509856562092,0.251399861931426,0.544181943698704,0.204418194369870,0.612410830712587,0.218225051775715,0.142900974150495,0.008437523970239,0.018025619390964,0.100444887627522,0.157436526808315,0.225090128096955,0.265628595535783,36,061,003002,36061003002,30.02,Census Tract 30.02,G5020,S,78525,0,+40.7229641,-073.9858662,36061003002.000000000000000,36061003002.000000000000000,New York,Manhattan,50625,46124,4.500000000000000,0.300000000000000,59.500000000000000,22.199999999999999,10.300000000000001,3.100000000000000,29.600000000000001,0.687036383000000,82.599999999999994,8.000000000000000,8.900000000000000,0.500000000000000,3.900000000000000
2,1,2,1,2,52,40.727407939999999,-73.981420060000005,E 10 St & Avenue A,5659.050000000000182,445,40.72741620N,073.98142150W,2,79,0.042624911314400,East Village,79,Manhattan,78,79,23766,0.503408230244888,0.335984179079357,0.501262307498107,0.162753513422536,0.792560801144492,0.065471682235126,0.116216443659009,0.005974922157704,0.019776150803669,0.069258604729445,0.120929058318606,0.176512665151898,0.297315492720693,76,79,26074,0.469509856562092,0.251399861931426,0.544181943698704,0.204418194369870,0.612410830712587,0.218225051775715,0.142900974150495,0.008437523970239,0.018025619390964,0.100444887627522,0.157436526808315,0.225090128096955,0.265628595535783,36,061,003200,36061003200,32,Census Tract 32,G5020,S,217682,0,+40.7255579,-073.9837166,36061003200.000000000000000,36061003200.000000000000000,New York,Manhattan,71033,58068,1.000000000000000,0.000000000000000,59.700000000000003,20.399999999999999,12.199999999999999,6.700000000000000,30.800000000000001,0.631431838000000,83.200000000000003,6.000000000000000,10.800000000000001,0.000000000000000,4.400000000000000
3,1,3,1,3,34,40.733142590000000,-73.975738809999996,E 20 St & FDR Drive,5886.020000000000437,487,40.73315085N,073.97574025W,3,224,0.044020446276900,Stuy Town/Peter Cooper Village,224,Manhattan,222,224,10453,0.471921936286234,0.310245862431838,0.479192576293887,0.210561561274275,0.800057399789534,0.059600114799579,0.114416913804649,0.003730986319717,0.022194585286521,0.054912465320960,0.111164259064383,0.176217353869702,0.347460059313116,218,224,1407,0.611940298507463,0.199715707178394,0.538734896943852,0.261549395877754,0.668088130774698,0.209665955934613,0.095238095238095,0.009950248756219,0.017057569296375,0.169864960909737,0.178393745557925,0.233120113717129,0.218905472636816,36,061,004400,36061004400,44,Census Tract 44,G5020,S,410435,464126,+40.7280964,-073.9714520,36061004400.000000000000000,36061004400.000000000000000,New York,Manhattan,93010,57640,3.700000000000000,3.800000000000000,58.100000000000001,20.300000000000001,4.800000000000000,9.199999999999999,29.699999999999999,0.626419753000000,77.700000000000003,13.400000000000000,8.900000000000000,0.000000000000000,2.600000000000000
4,1,4,1,4,44,40.732218529999997,-73.981655570000001,1 Ave & E 16 St,5779.079999999999927,504,40.73222679N,073.98165701W,4,224,0.044020446276900,Stuy Town/Peter Cooper Village,224,Manhattan,222,224,10453,0.471921936286234,0.310245862431838,0.479192576293887,0.210561561274275,0.800057399789534,0.059600114799579,0.114416913804649,0.003730986319717,0.022194585286521,0.054912465320960,0.111164259064383,0.176217353869702,0.347460059313116,218,224,1407,0.611940298507463,0.199715707178394,0.538734896943852,0.261549395877754,0.668088130774698,0.209665955934613,0.095238095238095,0.009950248756219,0.017057569296375,0.169864960909737,0.178393745557925,0.233120113717129,0.218905472636816,36,061,004400,36061004400,44,Census Tract 44,G5020,S,410435,464126,+40.7280964,-073.9714520,36061004400.000000000000000,36061004400.000000000000000,New York,Manhattan,93010,57640,3.700000000000000,3.800000000000000,58.100000000000001,20.300000000000001,4.800000000000000,9.199999999999999,29.699999999999999,0.626419753000000,77.700000000000003,13.400000000000000,8.900000000000000,0.000000000000000,2.600000000000000
5,1,5,1,5,39,40.767272159999997,-73.993928879999999,W 52 St & 11 Ave,6926.010000000000218,72,40.76728043N,073.99393033W,5,50,0.055747986753600,Clinton West,50,Manhattan,49,50,8282,0.556991064960155,0.251509297271191,0.597923206954842,0.150567495773968,0.713354262255494,0.116276261772519,0.144047331562425,0.007969089591886,0.018353054817677,0.077034532721565,0.131489978266119,0.197174595508331,0.342791596232794,48,50,25889,0.614392212908958,0.225114913669898,0.608173355479161,0.166711730850941,0.681679477770482,0.195179419830816,0.100042489088030,0.007184518521380,0.015914094789293,0.078952450847850,0.141063772258488,0.203059214338136,0.351809648885627,36,061,013500,36061013500,135,Census Tract 135,G5020,S,420500,411667,+40.7702629,-073.9959718,36061013500.000000000000000,36061013500.000000000000000,New York,Manhattan,62290,65809,6.900000000000000,1.100000000000000,41.000000000000000,39.500000000000000,7.900000000000000,3.700000000000000,28.000000000000000,0.538533835000000,84.900000000000006,7.200000000000000,7.900000000000000,0.000000000000000,5.700000000000000
6,1,6,1,6,33,40.719115520000003,-74.006666609999996,Franklin St & W Broadway,5430.079999999999927,79,40.71912378N,074.00666806W,6,231,0.063420116558700,TriBeCa/Civic Center,231,Manhattan,229,231,10429,0.549525361971426,0.199156199060313,0.618755393613961,0.182088407325726,0.787707354492281,0.064531594592003,0.126282481541854,0.005944961165979,0.015533608207882,0.062230319301946,0.131843896826158,0.187649822610030,0.419119762201553,225,231,172899,0.471413946870716,0.173517487087837,0.599824174807257,0.226658338104905,0.608985592744897,0.257190614173593,0.106322188098254,0.008316994314600,0.019184610668656,0.081700877390847,0.146039016998363,0.238237352442756,0.360505266080197,36,061,003300,36061003300,33,Census Tract 33,G5020,S,341838,0,+40.7188641,-074.0061467,36061003300.000000000000000,36061003300.000000000000000,New York,Manhattan,,213267,5.700000000000000,1.000000000000000,50.600000000000001,21.800000000000001,12.100000000000000,8.900000000000000,24.800000000000001,0.651748252000000,91.799999999999997,3.000000000000000,5.200000000000000,0.000000000000000,3.500000000000000
7,1,7,1,7,27,40.711174159999999,-74.000165449999997,St James Pl & Pearl St,5167.060000000000400,82,40.71118242N,074.00016690W,7,45,0.045906862623500,Chinatown,45,Manhattan,44,45,8186,0.491815294405082,0.222575128267774,0.570364036159296,0.207060835572929,0.376007818226240,0.116051795748839,0.482775470315172,0.007818226239922,0.017346689469827,0.136330320058637,0.156975323723430,0.197898851698021,0.286220376252138,43,45,12402,0.480325753910660,0.148443799387196,0.596516690856314,0.255039509756491,0.398242218996936,0.133930011288502,0.448556684405741,0.003547814868570,0.015723270440252,0.138122883405902,0.161183680051605,0.215045960328979,0.337203676826318,36,061,002500,36061002500,25,Census Tract 25,G5020,S,133767,107059,+40.7085998,-073.9978104,36061002500.000000000000000,36061002500.000000000000000,New York,Manhattan,16527,11636,6.800000000000000,1.700000000000000,59.600000000000001,31.899999999999999,0.000000000000000,0.000000000000000,40.600000000000001,0.309713841000000,87.700000000000003,9.400000000000000,2.900000000000000,0.000000000000000,17.800000000000001
8,1,8,1,8,62,40.683826040000000,-73.976323280000003,Atlantic Ave & Fort Greene Pl,4354.069999999999709,83,40.68383429N,073.97632472W,8,97,0.062476014742300,Fort Greene,97,Brooklyn,96,97,14355,0.474886799024730,0.217554858934169,0.627516544757924,0.154928596307907,0.549564611633577,0.321560431905260,0.095437129919889,0.009056078021595,0.024381748519680,0.103308951584814,0.165517241379310,0.225287356321839,0.288331591779868,94,97,17994,0.466266533288874,0.212181838390575,0.554573746804490,0.233244414804935,0.559575414026898,0.324608202734245,0.091586084250306,0.006946760031121,0.017283538957430,0.089196398799600,0.142436367678115,0.222074024674892,0.334111370456819,36,047,003500,36047003500,35,Census Tract 35,G5020,S,133027,0,+40.6853252,-073.9761803,36047003500.000000000000000,36047003500.000000000000000,Kings,Brooklyn,61525,49467,10.000000000000000,2.800000000000000,69.299999999999997,9.300000000000001,2.200000000000000,6.500000000000000,36.600000000000001,0.552258065000000,73.799999999999997,17.100000000000001,9.100000000000000,0.000000000000000,10.300000000000001
9,1,9,1,9,19,40.696089409999999,-73.978034149999999,Park Ave & St Edwards St,4700.060000000000400,119,40.69609766N,073.97803559W,9,97,0.062476014742300,Fort Greene,97,Brooklyn,96,97,14355,0.474886799024730,0.217554858934169,0.627516544757924,0.154928596307907,0.549564611633577,0.321560431905260,0.095437129919889,0.009056078021595,0.024381748519680,0.103308951584814,0.165517241379310,0.225287356321839,0.288331591779868,94,97,17994,0.466266533288874,0.212181838390575,0.554573746804490,0.233244414804935,0.559575414026898,0.324608202734245,0.091586084250306,0.006946760031121,0.017283538957430,0.089196398799600,0.142436367678115,0.222074024674892,0.334111370456819,36,047,002901,36047002901,29.01,Census Tract 29.01,G5020,S,109833,0,+40.6949866,-073.9781020,36047002901.000000000000000,36047002901.000000000000000,Kings,Brooklyn,17544,9786,8.699999999999999,0.000000000000000,87.099999999999994,3.700000000000000,0.000000000000000,0.500000000000000,41.799999999999997,0.324745187000000,73.700000000000003,20.199999999999999,6.100000000000000,0.000000000000000,23.300000000000001
10,1,10,1,10,19,40.686767930000002,-73.959281680000004,Lexington Ave & Classon Ave,4452.029999999999745,120,40.68677618N,073.95928311W,10,17,0.093522632948000,Bedford,17,Brooklyn,16,17,30591,0.482658298192279,0.296819325945540,0.561864600699552,0.141316073354908,0.547187081167664,0.377071687751299,0.047301493903436,0.008989572096368,0.019450165081233,0.116177960838155,0.163577522800824,0.214474845542807,0.208950344872675,15,17,14566,0.448166964163120,0.239873678429219,0.567691885212138,0.192434436358643,0.612522312233969,0.307016339420568,0.058629685569134,0.008032404229027,0.013799258547302,0.135521076479473,0.191747906082658,0.219415076204861,0.213442262803790,36,047,023300,36047023300,233,Census Tract 233,G5020,S,171841,0,+40.6887957,-073.9574901,36047023300.000000000000000,36047023300.000000000000000,Kings,Brooklyn,33141,23773,6.300000000000000,0.800000000000000,78.200000000000003,7.200000000000000,4.300000000000000,3.100000000000000,39.200000000000003,0.442525190000000,75.400000000000006,17.300000000000001,7.300000000000000,0.000000000000000,19.300000000000001
