capacity,lat,lon,name,short_name,station_id
37,40.72217444,-73.98368779,E 2 St & Avenue B,5515.02,301
52,40.72740794,-73.98142006,E 10 St & Avenue A,5659.05,445
34,40.73314259,-73.97573881,E 20 St & FDR Drive,5886.02,487
44,40.73221853,-73.98165557,1 Ave & E 16 St,5779.08,504
39,40.76727216,-73.99392888,W 52 St & 11 Ave,6926.01,72
33,40.71911552,-74.00666661,Franklin St & W Broadway,5430.08,79
27,40.71117416,-74.00016545,St James Pl & Pearl St,5167.06,82
62,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,4354.07,83
19,40.69608941,-73.97803415,Park Ave & St Edwards St,4700.06,119
19,40.68676793,-73.95928168,Lexington Ave & Classon Ave,4452.03,120
31,40.73172428,-74.00674436,Barrow St & Hudson St,5805.05,127
30,40.72710258,-74.00297088,MacDougal St & Prince St,5687.04,128
24,40.69239502,-73.99337909,Clinton St & Joralemon St,4605.04,143
19,40.69839895,-73.98068914,Nassau St & Navy St,4812.02,144
39,40.71625008,-74.0091059,Hudson St & Reade St,5359.10,146
29,40.720873600000004,-73.98085795,E 2 St & Avenue C,5476.03,150
33,40.72210378668603,-73.99724900722505,Cleveland Pl & Spring St,5492.05,151
23,40.69089272,-73.99612349,Henry St & Atlantic Ave,4531.05,157
35,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,5721.14,161
47,40.75323098,-73.97032517,E 47 St & 2 Ave,6498.10,164
45,40.7489006,-73.97604882,E 39 St & 3 Ave,6389.03,167
47,40.73971301,-73.99456405,W 18 St & 6 Ave,6064.08,168
51,40.76068327096592,-73.98452728986742,Broadway & W 49 St,6708.02,173
30,40.7381765,-73.97738662,E 25 St & 1 Ave,6004.07,174
45,40.70905623,-74.01043382,Liberty St & Broadway,5105.01,195
28,40.74334935,-74.00681753,W 16 St & The High Line,6233.05,212
23,40.70037867,-73.99548059,Columbia Heights & Cranberry St,4829.01,216
39,40.70277159,-73.99383605,Old Fulton St,4903.08,217
33,40.73781509,-73.99994661,W 13 St & 7 Ave,6030.04,223
55,40.7546011026,-73.971878855,E 48 St & 3 Ave,6541.03,228
23,40.72743423,-73.99379025,Great Jones St,5636.11,229
23,40.69597683,-73.99014892,Cadman Plaza E & Tillary St,4677.01,232
39,40.7284186,-73.98713956,St Marks Pl & 2 Ave,5669.10,236
39,40.73047309,-73.98672378,E 11 St & 2 Ave,5746.04,237
31,40.7361967,-74.00859207,Bank St & Washington St,5964.01,238
31,40.69196566,-73.9813018,Willoughby St & Fleet St,4628.05,239
