capacity,lat,lon,name,short_name,station_id,empytCount_0,empytCount_1,empytCount_2,empytCount_3,empytCount_4,empytCount_5,empytCount_6,empytCount_7,empytCount_8,empytCount_9,empytCount_10,empytCount_11,empytCount_12,empytCount_13,empytCount_14,empytCount_15,empytCount_16,empytCount_17,empytCount_18,empytCount_19,empytCount_20,empytCount_21,empytCount_22,empytCount_23
37,40.72217444,-73.98368779,E 2 St & Avenue B,5515.02,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,48.0,33.0,35.0,39.0,26.0,18.0,15.0,2.0,0.0,5.0
52,40.72740794,-73.98142006,E 10 St & Avenue A,5659.05,445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,19.0,17.0,8.0,22.0,15.0,5.0,9.0,2.0,0.0,0.0
34,40.73314259,-73.97573881,E 20 St & FDR Drive,5886.02,487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,35.0,39.0,27.0,31.0,12.0,12.0,3.0,1.0,0.0,1.0
44,40.73221853,-73.98165557,1 Ave & E 16 St,5779.08,504,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,37.0,44.0,34.0,30.0,24.0,21.0,13.0,13.0,4.0,0.0,2.0
39,40.76727216,-73.99392888,W 52 St & 11 Ave,6926.01,72,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,12.0,5.0,3.0,10.0,13.0,14.0,6.0,15.0,19.0,15.0,5.0
33,40.71911552,-74.00666661,Franklin St & W Broadway,5430.08,79,5.0,8.0,5.0,0.0,4.0,38.0,37.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,6.0,11.0,0.0,5.0,4.0,4.0,0.0,4.0
27,40.71117416,-74.00016545,St James Pl & Pearl St,5167.06,82,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,5.0,17.0,6.0,2.0,5.0,2.0
62,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,4354.07,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,40.69608941,-73.97803415,Park Ave & St Edwards St,4700.06,119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,40.68676793,-73.95928168,Lexington Ave & Classon Ave,4452.03,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,14.0,17.0,7.0,23.0,13.0,22.0,27.0,7.0,2.0,0.0
31,40.73172428,-74.00674436,Barrow St & Hudson St,5805.05,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,5.0,3.0,6.0,3.0,4.0,1.0,3.0,1.0,0.0
30,40.72710258,-74.00297088,MacDougal St & Prince St,5687.04,128,2.0,4.0,5.0,5.0,6.0,9.0,13.0,0.0,0.0,13.0,12.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
24,40.69239502,-73.99337909,Clinton St & Joralemon St,4605.04,143,14.0,4.0,6.0,3.0,6.0,20.0,39.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,28.0,14.0
19,40.69839895,-73.98068914,Nassau St & Navy St,4812.02,144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40.71625008,-74.0091059,Hudson St & Reade St,5359.10,146,4.0,6.0,5.0,5.0,11.0,15.0,17.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,40.7208736,-73.98085795,E 2 St & Avenue C,5476.03,150,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,35.0,65.0,65.0,28.0,42.0,21.0,22.0,13.0,9.0,0.0,4.0
33,40.72210378668603,-73.99724900722505,Cleveland Pl & Spring St,5492.05,151,13.0,23.0,28.0,11.0,29.0,25.0,29.0,0.0,8.0,3.0,8.0,2.0,24.0,4.0,1.0,6.0,0.0,7.0,3.0,0.0,4.0,1.0,5.0,12.0
23,40.69089272,-73.99612349,Henry St & Atlantic Ave,4531.05,157,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,12.0,7.0,8.0,5.0,6.0,3.0,0.0,2.0,1.0,0.0
35,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,5721.14,161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,40.75323098,-73.97032517,E 47 St & 2 Ave,6498.10,164,59.0,39.0,29.0,45.0,28.0,29.0,0.0,8.0,18.0,0.0,20.0,12.0,16.0,0.0,0.0,0.0,7.0,22.0,7.0,2.0,13.0,9.0,40.0,24.0
45,40.7489006,-73.97604882,E 39 St & 3 Ave,6389.03,167,35.0,49.0,36.0,46.0,18.0,14.0,44.0,23.0,7.0,6.0,10.0,11.0,23.0,0.0,0.0,4.0,2.0,7.0,5.0,11.0,13.0,18.0,31.0,30.0
47,40.73971301,-73.99456405,W 18 St & 6 Ave,6064.08,168,21.0,45.0,59.0,47.0,38.0,30.0,252.0,16.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,40.0
51,40.76068327096592,-73.98452728986742,Broadway & W 49 St,6708.02,173,45.0,43.0,66.0,42.0,70.0,7.0,45.0,60.0,37.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,7.0,28.0,39.0,41.0
30,40.7381765,-73.97738662,E 25 St & 1 Ave,6004.07,174,10.0,16.0,11.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,30.0,14.0,29.0,14.0,32.0,21.0,13.0,14.0,14.0
45,40.70905623,-74.01043382,Liberty St & Broadway,5105.01,195,33.0,16.0,28.0,10.0,0.0,10.0,52.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,45.0,27.0
28,40.74334935,-74.00681753,W 16 St & The High Line,6233.05,212,24.0,32.0,58.0,47.0,24.0,56.0,67.0,61.0,0.0,2.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,17.0,21.0,28.0
23,40.70037867,-73.99548059,Columbia Heights & Cranberry St,4829.01,216,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0
39,40.70277159,-73.99383605,Old Fulton St,4903.08,217,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
33,40.73781509,-73.99994661,W 13 St & 7 Ave,6030.04,223,0.0,1.0,5.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,13.0,6.0,2.0,0.0,1.0,3.0,4.0,1.0,4.0,2.0
55,40.7546011026,-73.971878855,E 48 St & 3 Ave,6541.03,228,67.0,70.0,98.0,55.0,19.0,0.0,89.0,53.0,39.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,8.0,4.0,25.0,33.0,65.0
23,40.72743423,-73.99379025,Great Jones St,5636.11,229,3.0,23.0,23.0,48.0,41.0,68.0,46.0,27.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
23,40.69597683,-73.99014892,Cadman Plaza E & Tillary St,4677.01,232,14.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,17.0,38.0
39,40.7284186,-73.98713956,St Marks Pl & 2 Ave,5669.10,236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,49.0,28.0,21.0,23.0,10.0,16.0,6.0,3.0,0.0,0.0
