station_id,taxi_zone,taxi_R_total,taxi_R_male,taxi_R_female,taxi_R_age_under_29,taxi_R_age_30_54,taxi_R_age_55_over,taxi_W_total,taxi_W_male,taxi_W_female,taxi_W_age_under_29,taxi_W_age_30_54,taxi_W_age_55_over,startCount_0,endCount_0,startCount_1,endCount_1,startCount_2,endCount_2,startCount_3,endCount_3,startCount_4,endCount_4,startCount_5,endCount_5,startCount_6,endCount_6,startCount_7,endCount_7,startCount_8,endCount_8,startCount_9,endCount_9,startCount_10,endCount_10,startCount_11,endCount_11,startCount_12,endCount_12,startCount_13,endCount_13,startCount_14,endCount_14,startCount_15,endCount_15,startCount_16,endCount_16,startCount_17,endCount_17,startCount_18,endCount_18,startCount_19,endCount_19,startCount_20,endCount_20,startCount_21,endCount_21,startCount_22,endCount_22,startCount_23,endCount_23,label,capacity,lat,lon,name,short_name
301,79,23766,11964.000000000005,11801.999999999995,7984.999999999999,11913.000000000013,3867.999999999991,26074,12241.999999999987,13832.000000000013,6555.000000000003,14189.000000000007,5329.999999999989,390.0,671.0,244.0,377.0,151.0,223.0,96.0,121.0,73.0,59.0,395.0,52.0,1462.0,178.0,2461.0,630.0,3504.0,864.0,1821.0,767.0,1685.0,1010.0,1853.0,1414.0,2189.0,1889.0,2104.0,2032.0,2059.0,2124.0,2212.0,2462.0,2219.0,2935.0,2315.0,4682.0,2420.0,4738.0,2111.0,3159.0,1479.0,2003.0,1179.0,1533.0,906.0,1317.0,620.0,907.0,1,37,40.72217444,-73.98368779,E 2 St & Avenue B,5515.02
445,79,23766,11964.000000000005,11801.999999999995,7984.999999999999,11913.000000000013,3867.999999999991,26074,12241.999999999987,13832.000000000013,6555.000000000003,14189.000000000007,5329.999999999989,403.0,954.0,269.0,520.0,144.0,299.0,103.0,176.0,90.0,110.0,209.0,107.0,1234.0,227.0,2888.0,618.0,7474.0,1171.0,3140.0,1072.0,2747.0,1511.0,2611.0,1803.0,2832.0,2074.0,2677.0,2394.0,2573.0,2671.0,2899.0,3023.0,2560.0,3386.0,2746.0,4882.0,2830.0,6114.0,2354.0,4526.0,1656.0,3248.0,1111.0,2408.0,807.0,1903.0,657.0,1332.0,1,52,40.72740794,-73.98142006,E 10 St & Avenue A,5659.05
487,224,10453,4933.000000000005,5519.999999999995,3243.000000000003,5009.000000000002,2200.999999999997,1407,861.0000000000005,545.9999999999994,281.0000000000004,757.9999999999999,367.99999999999983,172.0,534.0,113.0,306.0,51.0,212.0,60.0,131.0,192.0,68.0,619.0,65.0,2181.0,303.0,3658.0,657.0,3900.0,806.0,1390.0,664.0,1057.0,799.0,1244.0,1103.0,1546.0,1413.0,1441.0,1498.0,1502.0,1845.0,1785.0,2308.0,1769.0,2823.0,2441.0,4624.0,2119.0,4401.0,1761.0,2810.0,1242.0,2438.0,811.0,1877.0,541.0,1313.0,356.0,1006.0,1,34,40.73314259,-73.97573881,E 20 St & FDR Drive,5886.02
504,224,10453,4933.000000000005,5519.999999999995,3243.000000000003,5009.000000000002,2200.999999999997,1407,861.0000000000005,545.9999999999994,281.0000000000004,757.9999999999999,367.99999999999983,867.0,917.0,535.0,584.0,329.0,404.0,211.0,229.0,147.0,169.0,436.0,171.0,1487.0,801.0,3578.0,1607.0,4899.0,2686.0,2616.0,1670.0,1931.0,1749.0,2305.0,2328.0,2640.0,2534.0,2629.0,2513.0,2645.0,2822.0,3043.0,3017.0,3056.0,3515.0,3977.0,5452.0,3719.0,6188.0,3240.0,4516.0,2365.0,3006.0,2067.0,2365.0,1757.0,1818.0,1432.0,1435.0,1,44,40.73221853,-73.98165557,1 Ave & E 16 St,5779.08
72,50,8282,4613.000000000005,3668.999999999996,2083.000000000004,4952.000000000002,1247.0000000000032,25889,15906.000000000013,9982.999999999987,5827.99999999999,15744.999999999998,4316.000000000012,127.0,273.0,78.0,137.0,61.0,93.0,32.0,35.0,68.0,38.0,126.0,190.0,431.0,511.0,906.0,990.0,3545.0,1504.0,2231.0,1649.0,1618.0,1205.0,1378.0,1135.0,1384.0,1348.0,1585.0,1444.0,1735.0,1675.0,1855.0,1785.0,2034.0,1896.0,2349.0,2251.0,2306.0,2934.0,1606.0,2023.0,826.0,1738.0,589.0,1102.0,483.0,877.0,286.0,550.0,5,39,40.76727216,-73.99392888,W 52 St & 11 Ave,6926.01
79,231,10429,5731.000000000003,4697.999999999998,2077.0000000000045,6453.0,1898.9999999999966,172899,81506.99999999993,91392.00000000007,30000.99999999993,103708.99999999993,39188.99999999997,196.0,158.0,99.0,105.0,56.0,50.0,35.0,24.0,13.0,134.0,84.0,68.0,330.0,301.0,470.0,836.0,1228.0,2228.0,1372.0,3016.0,1015.0,1646.0,1118.0,1142.0,1372.0,1301.0,1435.0,1356.0,1434.0,1268.0,1490.0,1409.0,1468.0,1467.0,2053.0,1474.0,2925.0,1876.0,1816.0,1252.0,1114.0,827.0,753.0,565.0,540.0,407.0,392.0,296.0,5,33,40.71911552,-74.00666661,Franklin St & W Broadway,5430.08
82,45,8186,4026.0000000000014,4159.999999999998,1821.9999999999975,4668.999999999997,1694.9999999999966,12402,5957.000000000006,6444.999999999994,1841.0000000000045,7398.000000000006,3163.000000000002,85.0,109.0,18.0,77.0,25.0,49.0,18.0,60.0,25.0,114.0,43.0,114.0,322.0,119.0,302.0,249.0,1015.0,430.0,843.0,408.0,452.0,302.0,459.0,327.0,522.0,470.0,511.0,519.0,619.0,569.0,583.0,638.0,637.0,685.0,733.0,1073.0,846.0,1027.0,693.0,807.0,417.0,614.0,360.0,428.0,219.0,331.0,136.0,242.0,0,27,40.71117416,-74.00016545,St James Pl & Pearl St,5167.06
83,97,14355,6816.999999999999,7538.000000000001,3122.999999999996,9007.999999999998,2224.0000000000045,17994,8389.999999999998,9604.000000000002,3818.000000000007,9978.99999999999,4197.000000000001,195.0,174.0,92.0,118.0,51.0,60.0,29.0,44.0,14.0,17.0,20.0,28.0,184.0,64.0,285.0,246.0,546.0,472.0,514.0,542.0,361.0,401.0,515.0,564.0,588.0,682.0,659.0,711.0,662.0,760.0,726.0,782.0,779.0,907.0,930.0,1080.0,1046.0,1244.0,790.0,1301.0,662.0,866.0,638.0,553.0,508.0,345.0,346.0,244.0,0,62,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,4354.07
119,97,14355,6816.999999999999,7538.000000000001,3122.999999999996,9007.999999999998,2224.0000000000045,17994,8389.999999999998,9604.000000000002,3818.000000000007,9978.99999999999,4197.000000000001,9.0,29.0,9.0,16.0,2.0,7.0,1.0,3.0,1.0,3.0,3.0,15.0,242.0,13.0,106.0,18.0,201.0,43.0,213.0,23.0,156.0,30.0,165.0,45.0,87.0,65.0,89.0,80.0,77.0,120.0,71.0,166.0,63.0,135.0,64.0,159.0,84.0,312.0,94.0,120.0,28.0,86.0,25.0,75.0,27.0,69.0,41.0,53.0,2,19,40.69608941,-73.97803415,Park Ave & St Edwards St,4700.06
120,17,30591,14765.000000000005,15825.999999999995,9080.000000000016,17187.999999999996,4322.999999999992,14566,6528.000000000006,8037.999999999994,3494.000000000004,8269.0,2802.999999999993,43.0,179.0,30.0,89.0,14.0,50.0,12.0,25.0,6.0,8.0,23.0,4.0,145.0,6.0,445.0,28.0,714.0,81.0,608.0,127.0,284.0,137.0,253.0,168.0,248.0,150.0,250.0,206.0,226.0,194.0,214.0,206.0,182.0,251.0,190.0,255.0,241.0,622.0,241.0,597.0,182.0,413.0,160.0,339.0,107.0,262.0,90.0,213.0,0,19,40.68676793,-73.95928168,Lexington Ave & Classon Ave,4452.03
