station_id,startCount_0,endCount_0,startCount_1,endCount_1,startCount_2,endCount_2,startCount_3,endCount_3,startCount_4,endCount_4,startCount_5,endCount_5,startCount_6,endCount_6,startCount_7,endCount_7,startCount_8,endCount_8,startCount_9,endCount_9,startCount_10,endCount_10,startCount_11,endCount_11,startCount_12,endCount_12,startCount_13,endCount_13,startCount_14,endCount_14,startCount_15,endCount_15,startCount_16,endCount_16,startCount_17,endCount_17,startCount_18,endCount_18,startCount_19,endCount_19,startCount_20,endCount_20,startCount_21,endCount_21,startCount_22,endCount_22,startCount_23,endCount_23,label
301,390.0,671.0,244.0,377.0,151.0,223.0,96.0,121.0,73.0,59.0,395.0,52.0,1462.0,178.0,2461.0,630.0,3504.0,864.0,1821.0,767.0,1685.0,1010.0,1853.0,1414.0,2189.0,1889.0,2104.0,2032.0,2059.0,2124.0,2212.0,2462.0,2219.0,2935.0,2315.0,4682.0,2420.0,4738.0,2111.0,3159.0,1479.0,2003.0,1179.0,1533.0,906.0,1317.0,620.0,907.0,1
445,403.0,954.0,269.0,520.0,144.0,299.0,103.0,176.0,90.0,110.0,209.0,107.0,1234.0,227.0,2888.0,618.0,7474.0,1171.0,3140.0,1072.0,2747.0,1511.0,2611.0,1803.0,2832.0,2074.0,2677.0,2394.0,2573.0,2671.0,2899.0,3023.0,2560.0,3386.0,2746.0,4882.0,2830.0,6114.0,2354.0,4526.0,1656.0,3248.0,1111.0,2408.0,807.0,1903.0,657.0,1332.0,1
487,172.0,534.0,113.0,306.0,51.0,212.0,60.0,131.0,192.0,68.0,619.0,65.0,2181.0,303.0,3658.0,657.0,3900.0,806.0,1390.0,664.0,1057.0,799.0,1244.0,1103.0,1546.0,1413.0,1441.0,1498.0,1502.0,1845.0,1785.0,2308.0,1769.0,2823.0,2441.0,4624.0,2119.0,4401.0,1761.0,2810.0,1242.0,2438.0,811.0,1877.0,541.0,1313.0,356.0,1006.0,1
504,867.0,917.0,535.0,584.0,329.0,404.0,211.0,229.0,147.0,169.0,436.0,171.0,1487.0,801.0,3578.0,1607.0,4899.0,2686.0,2616.0,1670.0,1931.0,1749.0,2305.0,2328.0,2640.0,2534.0,2629.0,2513.0,2645.0,2822.0,3043.0,3017.0,3056.0,3515.0,3977.0,5452.0,3719.0,6188.0,3240.0,4516.0,2365.0,3006.0,2067.0,2365.0,1757.0,1818.0,1432.0,1435.0,1
72,127.0,273.0,78.0,137.0,61.0,93.0,32.0,35.0,68.0,38.0,126.0,190.0,431.0,511.0,906.0,990.0,3545.0,1504.0,2231.0,1649.0,1618.0,1205.0,1378.0,1135.0,1384.0,1348.0,1585.0,1444.0,1735.0,1675.0,1855.0,1785.0,2034.0,1896.0,2349.0,2251.0,2306.0,2934.0,1606.0,2023.0,826.0,1738.0,589.0,1102.0,483.0,877.0,286.0,550.0,5
79,196.0,158.0,99.0,105.0,56.0,50.0,35.0,24.0,13.0,134.0,84.0,68.0,330.0,301.0,470.0,836.0,1228.0,2228.0,1372.0,3016.0,1015.0,1646.0,1118.0,1142.0,1372.0,1301.0,1435.0,1356.0,1434.0,1268.0,1490.0,1409.0,1468.0,1467.0,2053.0,1474.0,2925.0,1876.0,1816.0,1252.0,1114.0,827.0,753.0,565.0,540.0,407.0,392.0,296.0,5
82,85.0,109.0,18.0,77.0,25.0,49.0,18.0,60.0,25.0,114.0,43.0,114.0,322.0,119.0,302.0,249.0,1015.0,430.0,843.0,408.0,452.0,302.0,459.0,327.0,522.0,470.0,511.0,519.0,619.0,569.0,583.0,638.0,637.0,685.0,733.0,1073.0,846.0,1027.0,693.0,807.0,417.0,614.0,360.0,428.0,219.0,331.0,136.0,242.0,0
83,195.0,174.0,92.0,118.0,51.0,60.0,29.0,44.0,14.0,17.0,20.0,28.0,184.0,64.0,285.0,246.0,546.0,472.0,514.0,542.0,361.0,401.0,515.0,564.0,588.0,682.0,659.0,711.0,662.0,760.0,726.0,782.0,779.0,907.0,930.0,1080.0,1046.0,1244.0,790.0,1301.0,662.0,866.0,638.0,553.0,508.0,345.0,346.0,244.0,0
119,9.0,29.0,9.0,16.0,2.0,7.0,1.0,3.0,1.0,3.0,3.0,15.0,242.0,13.0,106.0,18.0,201.0,43.0,213.0,23.0,156.0,30.0,165.0,45.0,87.0,65.0,89.0,80.0,77.0,120.0,71.0,166.0,63.0,135.0,64.0,159.0,84.0,312.0,94.0,120.0,28.0,86.0,25.0,75.0,27.0,69.0,41.0,53.0,2
120,43.0,179.0,30.0,89.0,14.0,50.0,12.0,25.0,6.0,8.0,23.0,4.0,145.0,6.0,445.0,28.0,714.0,81.0,608.0,127.0,284.0,137.0,253.0,168.0,248.0,150.0,250.0,206.0,226.0,194.0,214.0,206.0,182.0,251.0,190.0,255.0,241.0,622.0,241.0,597.0,182.0,413.0,160.0,339.0,107.0,262.0,90.0,213.0,0
127,477.0,500.0,194.0,253.0,85.0,125.0,70.0,80.0,43.0,73.0,203.0,111.0,997.0,752.0,2481.0,1453.0,5669.0,3996.0,5239.0,6437.0,3529.0,3593.0,2960.0,2492.0,2948.0,2534.0,2898.0,2750.0,2687.0,3012.0,2884.0,2858.0,3268.0,3106.0,5070.0,5423.0,6216.0,6988.0,4536.0,5374.0,2514.0,3023.0,1570.0,1898.0,1178.0,1348.0,1003.0,930.0,3
128,456.0,519.0,246.0,257.0,114.0,157.0,106.0,91.0,118.0,49.0,270.0,53.0,485.0,321.0,1282.0,1639.0,3205.0,4422.0,2715.0,4861.0,1748.0,2171.0,1806.0,1854.0,2126.0,2172.0,2189.0,2321.0,2404.0,2279.0,2552.0,2234.0,2662.0,2615.0,4346.0,3641.0,5428.0,4315.0,3449.0,3728.0,2125.0,2666.0,1513.0,1650.0,1277.0,1168.0,846.0,700.0,3
143,92.0,149.0,45.0,81.0,21.0,40.0,10.0,17.0,7.0,13.0,28.0,68.0,151.0,137.0,544.0,239.0,1548.0,744.0,1160.0,554.0,562.0,417.0,558.0,356.0,471.0,425.0,457.0,482.0,501.0,452.0,459.0,516.0,518.0,552.0,585.0,782.0,705.0,1165.0,645.0,1103.0,432.0,672.0,291.0,481.0,206.0,334.0,120.0,217.0,0
144,47.0,56.0,11.0,33.0,4.0,22.0,4.0,9.0,0.0,3.0,15.0,9.0,49.0,15.0,178.0,88.0,328.0,319.0,239.0,193.0,245.0,230.0,286.0,259.0,380.0,375.0,410.0,404.0,402.0,421.0,426.0,435.0,408.0,398.0,375.0,448.0,341.0,420.0,260.0,333.0,158.0,190.0,109.0,131.0,105.0,156.0,178.0,79.0,0
146,265.0,193.0,126.0,108.0,76.0,73.0,31.0,38.0,17.0,20.0,170.0,108.0,217.0,215.0,680.0,561.0,1680.0,1736.0,1407.0,1628.0,1063.0,1299.0,1125.0,1180.0,1201.0,1578.0,1430.0,1450.0,1405.0,1352.0,1330.0,1385.0,1342.0,1493.0,1806.0,2001.0,2375.0,2144.0,1871.0,1526.0,1058.0,913.0,818.0,608.0,620.0,427.0,498.0,310.0,5
150,150.0,448.0,97.0,276.0,68.0,197.0,27.0,108.0,31.0,45.0,222.0,32.0,726.0,106.0,2320.0,460.0,3000.0,591.0,1074.0,297.0,796.0,531.0,815.0,540.0,857.0,719.0,989.0,826.0,975.0,1007.0,975.0,1004.0,1063.0,1313.0,1116.0,2001.0,1250.0,3339.0,1192.0,2497.0,959.0,1614.0,618.0,1033.0,414.0,756.0,268.0,538.0,5
151,810.0,739.0,483.0,455.0,279.0,261.0,196.0,152.0,131.0,100.0,202.0,253.0,559.0,928.0,1248.0,1652.0,3724.0,3583.0,3912.0,5970.0,3044.0,4003.0,3556.0,3863.0,4401.0,4648.0,4834.0,4606.0,5006.0,4602.0,4858.0,4482.0,5225.0,4628.0,6313.0,5512.0,7031.0,6010.0,5296.0,5036.0,3792.0,3493.0,2546.0,2098.0,1716.0,1571.0,1212.0,1076.0,4
157,178.0,153.0,85.0,114.0,30.0,50.0,16.0,26.0,2.0,13.0,14.0,10.0,277.0,151.0,841.0,161.0,1704.0,297.0,870.0,442.0,501.0,392.0,516.0,465.0,598.0,654.0,651.0,778.0,658.0,891.0,650.0,817.0,731.0,935.0,671.0,1322.0,771.0,1875.0,796.0,1216.0,492.0,813.0,385.0,475.0,370.0,371.0,364.0,309.0,0
161,890.0,643.0,499.0,349.0,282.0,183.0,133.0,99.0,115.0,71.0,101.0,75.0,352.0,234.0,1083.0,898.0,2126.0,2121.0,1930.0,2804.0,1715.0,2574.0,1925.0,2198.0,2160.0,2683.0,2184.0,2617.0,2681.0,2554.0,2759.0,2915.0,3094.0,3111.0,3379.0,3550.0,3538.0,3923.0,3338.0,3172.0,2698.0,2385.0,2343.0,1624.0,1778.0,1172.0,1267.0,854.0,1
164,201.0,207.0,68.0,86.0,32.0,34.0,15.0,28.0,12.0,12.0,154.0,59.0,402.0,547.0,1031.0,1103.0,2103.0,3727.0,1418.0,4473.0,883.0,1396.0,891.0,751.0,1186.0,1097.0,1087.0,992.0,1112.0,867.0,932.0,848.0,1715.0,900.0,3410.0,1547.0,3302.0,1617.0,1486.0,1202.0,868.0,831.0,583.0,555.0,464.0,433.0,330.0,311.0,5
167,202.0,314.0,92.0,125.0,50.0,72.0,21.0,64.0,20.0,35.0,142.0,201.0,593.0,771.0,2114.0,2569.0,3963.0,5441.0,3586.0,4179.0,1633.0,1481.0,1486.0,1223.0,1671.0,1400.0,1558.0,1453.0,1718.0,1450.0,1547.0,1385.0,2313.0,1512.0,3759.0,2527.0,2750.0,2397.0,1786.0,1634.0,1146.0,1174.0,807.0,840.0,576.0,647.0,383.0,456.0,5
168,210.0,134.0,122.0,87.0,56.0,50.0,30.0,79.0,34.0,89.0,120.0,292.0,513.0,842.0,1100.0,1758.0,2448.0,4576.0,2828.0,6167.0,2123.0,2965.0,2520.0,2999.0,3222.0,3556.0,3425.0,3654.0,3817.0,3658.0,3809.0,3658.0,4441.0,4014.0,6741.0,4842.0,6644.0,4726.0,4075.0,3247.0,2427.0,1872.0,1088.0,713.0,644.0,400.0,375.0,233.0,3
173,350.0,281.0,219.0,152.0,121.0,114.0,75.0,65.0,58.0,66.0,70.0,705.0,384.0,2331.0,1257.0,3712.0,3355.0,4247.0,3154.0,3484.0,2193.0,1823.0,1903.0,1512.0,2234.0,1889.0,2177.0,2057.0,2184.0,1886.0,2330.0,1610.0,3224.0,1907.0,4482.0,2458.0,2898.0,2600.0,1930.0,2040.0,1328.0,1200.0,954.0,785.0,897.0,667.0,439.0,403.0,3
174,236.0,625.0,103.0,351.0,44.0,193.0,28.0,103.0,104.0,61.0,61.0,42.0,562.0,305.0,1963.0,1553.0,4860.0,3004.0,2676.0,1693.0,1388.0,919.0,1083.0,771.0,1135.0,932.0,996.0,1100.0,1169.0,1285.0,1580.0,1282.0,1577.0,1433.0,2008.0,2506.0,2117.0,2810.0,1942.0,2477.0,1531.0,1890.0,892.0,1596.0,511.0,1309.0,431.0,874.0,5
195,150.0,229.0,85.0,126.0,50.0,72.0,33.0,44.0,20.0,34.0,61.0,150.0,156.0,812.0,877.0,1672.0,1862.0,3592.0,1555.0,2978.0,992.0,1468.0,1359.0,1335.0,1833.0,1536.0,2213.0,1795.0,1877.0,1673.0,2125.0,1589.0,2798.0,1536.0,4056.0,1910.0,2327.0,1531.0,1230.0,1035.0,732.0,662.0,555.0,548.0,390.0,369.0,234.0,307.0,5
212,226.0,183.0,132.0,85.0,133.0,48.0,90.0,25.0,54.0,25.0,80.0,157.0,218.0,984.0,803.0,1200.0,1527.0,2080.0,1286.0,2825.0,1166.0,1489.0,1516.0,1364.0,1527.0,1528.0,1856.0,1484.0,1923.0,1686.0,2059.0,1818.0,2270.0,1664.0,2616.0,2005.0,2687.0,2240.0,1783.0,1509.0,1061.0,858.0,590.0,484.0,357.0,343.0,350.0,364.0,5
216,48.0,47.0,12.0,31.0,17.0,3.0,3.0,10.0,1.0,2.0,19.0,6.0,91.0,25.0,132.0,39.0,480.0,168.0,406.0,63.0,281.0,169.0,345.0,230.0,439.0,365.0,404.0,373.0,522.0,429.0,465.0,395.0,504.0,426.0,515.0,434.0,458.0,428.0,416.0,496.0,325.0,421.0,204.0,273.0,120.0,153.0,49.0,76.0,0
217,212.0,183.0,97.0,89.0,43.0,60.0,8.0,36.0,8.0,15.0,6.0,17.0,38.0,81.0,152.0,200.0,292.0,453.0,373.0,780.0,484.0,752.0,768.0,1098.0,1233.0,1595.0,1634.0,1878.0,2149.0,1914.0,2132.0,1914.0,1896.0,1703.0,1888.0,1635.0,1611.0,1533.0,1263.0,1529.0,1004.0,1036.0,818.0,730.0,786.0,498.0,517.0,320.0,5
223,527.0,518.0,244.0,262.0,111.0,165.0,84.0,112.0,55.0,115.0,121.0,147.0,566.0,712.0,1409.0,1292.0,2485.0,1705.0,2534.0,1609.0,1572.0,1477.0,1648.0,2001.0,2014.0,1942.0,2056.0,1847.0,1870.0,1900.0,1952.0,1902.0,1995.0,2171.0,2510.0,3299.0,2736.0,3587.0,2513.0,2852.0,2005.0,1853.0,1450.0,1366.0,1075.0,1062.0,787.0,820.0,1
228,187.0,154.0,78.0,131.0,31.0,118.0,24.0,112.0,20.0,38.0,73.0,180.0,324.0,882.0,612.0,3025.0,1029.0,5274.0,919.0,2928.0,779.0,854.0,902.0,671.0,1198.0,937.0,1122.0,979.0,1131.0,890.0,1359.0,877.0,2743.0,1042.0,5000.0,1215.0,3117.0,1295.0,1035.0,840.0,626.0,569.0,501.0,428.0,389.0,333.0,267.0,253.0,5
229,403.0,233.0,257.0,118.0,164.0,74.0,88.0,27.0,38.0,40.0,75.0,226.0,207.0,548.0,825.0,1424.0,1472.0,2476.0,2335.0,2972.0,1555.0,2019.0,1610.0,1736.0,1871.0,2060.0,1996.0,2044.0,1973.0,1865.0,2064.0,2051.0,2183.0,2099.0,2995.0,2591.0,3195.0,3131.0,2481.0,2335.0,1638.0,1463.0,1322.0,992.0,909.0,583.0,662.0,424.0,5
232,69.0,68.0,16.0,34.0,10.0,15.0,13.0,23.0,5.0,7.0,6.0,4.0,25.0,15.0,79.0,123.0,294.0,187.0,377.0,301.0,357.0,375.0,553.0,669.0,690.0,753.0,786.0,821.0,814.0,917.0,812.0,848.0,910.0,927.0,945.0,907.0,801.0,785.0,511.0,600.0,359.0,342.0,189.0,217.0,181.0,151.0,76.0,109.0,0
236,794.0,911.0,562.0,534.0,320.0,350.0,233.0,201.0,227.0,159.0,295.0,123.0,801.0,283.0,1266.0,444.0,3856.0,829.0,2770.0,1462.0,2157.0,1208.0,2213.0,1787.0,2413.0,2235.0,2682.0,2417.0,2463.0,2257.0,2582.0,2414.0,2290.0,2642.0,2614.0,3704.0,3011.0,5184.0,2791.0,4479.0,2197.0,3505.0,1829.0,2419.0,1618.0,1905.0,1180.0,1288.0,1
237,819.0,749.0,526.0,496.0,312.0,311.0,152.0,185.0,90.0,63.0,236.0,37.0,1021.0,151.0,2380.0,671.0,3641.0,1355.0,2044.0,1069.0,1522.0,1250.0,1866.0,1659.0,2256.0,2387.0,2554.0,2447.0,2218.0,2364.0,2466.0,2585.0,2726.0,3008.0,2738.0,4200.0,3126.0,5880.0,2759.0,4443.0,2246.0,2836.0,1869.0,1949.0,1723.0,1622.0,1238.0,1209.0,1
238,303.0,219.0,160.0,112.0,97.0,64.0,25.0,19.0,90.0,16.0,155.0,25.0,740.0,209.0,1370.0,365.0,2511.0,591.0,1647.0,828.0,978.0,926.0,1174.0,1151.0,1251.0,1475.0,1314.0,1513.0,1488.0,1708.0,1534.0,1794.0,1538.0,2109.0,1731.0,2796.0,1865.0,2955.0,1383.0,2059.0,944.0,1218.0,713.0,806.0,577.0,610.0,449.0,409.0,5
239,86.0,81.0,47.0,38.0,33.0,18.0,17.0,7.0,38.0,8.0,25.0,57.0,62.0,694.0,205.0,951.0,546.0,2036.0,633.0,1085.0,288.0,370.0,315.0,308.0,406.0,276.0,383.0,335.0,477.0,298.0,473.0,264.0,731.0,256.0,1178.0,414.0,1623.0,429.0,869.0,309.0,508.0,199.0,325.0,191.0,250.0,186.0,176.0,121.0,0
