tz,total,male,female,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
2,198,108,90,67,70,61,104,45,29,8,12,24,31,38,38
3,11398,5393,6005,2551,6346,2501,5990,4106,973,120,209,1414,2035,2666,2732
4,12318,6125,6193,3731,6421,2166,8259,2063,1591,122,283,1375,1859,2392,2961
5,10751,5546,5205,2154,6057,2540,9513,464,656,36,82,792,1626,2466,3713
6,6729,3287,3442,1409,3692,1628,5093,677,818,53,88,582,1052,1538,2148
7,43048,21648,21400,11777,24286,6985,32818,3975,5114,334,807,3928,6312,8477,12554
8,152,82,70,33,80,39,87,25,26,6,8,20,28,25,46
9,8526,4173,4353,1506,4773,2247,4988,407,2942,54,135,911,1285,1852,2972
10,14397,6540,7857,3103,8024,3270,3884,9131,958,167,257,1997,2863,3629,2805
11,11391,5469,5922,2281,6479,2631,7390,802,2907,96,196,1168,1831,2418,3693
12,187,95,92,51,86,50,98,49,27,8,5,25,36,40,35
13,7401,3937,3464,1205,4993,1203,5618,419,1179,44,141,437,906,1508,3345
14,37239,18568,18671,7135,21837,8267,28695,2678,4987,269,610,3467,5819,8205,12613
15,9549,4652,4897,1596,5272,2681,6970,574,1850,33,122,816,1537,2205,3395
16,19130,9626,9504,3522,10541,5067,11529,1293,5885,121,302,2013,2974,4135,6486
17,30591,14765,15826,9080,17188,4323,16739,11535,1447,275,595,3554,5004,6561,6392
18,20088,9798,10290,5134,11121,3833,12439,5737,1161,318,433,3274,3637,4323,3720
19,11453,5599,5854,2503,5954,2996,6059,1616,3410,122,246,1241,1804,2410,3495
20,9859,4862,4997,2861,5166,1832,6542,2555,461,117,184,1429,1750,2031,1788
21,24560,11600,12960,4955,13880,5725,15258,1552,7239,145,366,2917,4031,5170,7487
22,34154,16069,18085,7381,19110,7663,20814,2010,10518,263,549,3998,5411,7052,10312
23,16815,8372,8443,3331,9239,4245,12514,1471,2520,102,208,1400,2557,3846,5681
24,8161,3932,4229,1932,4298,1931,5991,1289,643,79,159,786,1238,1691,2514
25,11817,5613,6204,2497,7624,1696,8226,2182,1046,96,267,1014,1747,2533,4026
26,31697,15812,15885,8490,16122,7085,25219,2103,3742,216,417,3251,5339,6420,8197
27,2004,993,1011,400,990,614,1713,173,80,13,25,148,321,462,673
28,16985,8396,8589,3515,9633,3837,8902,3213,4267,224,379,2078,2828,3795,4769
29,13018,5912,7106,2190,6871,3957,10355,810,1571,76,206,1351,2259,2906,4312
30,1071,538,533,210,615,246,958,60,41,5,7,78,168,254,361
31,436,208,228,135,216,85,242,142,32,9,11,56,84,80,81
32,13421,6299,7122,3140,7500,2781,7181,5075,686,163,316,1970,2494,3116,2701
33,12611,6249,6362,2151,8126,2334,9984,1062,1259,65,241,868,1777,2728,5087
34,412,204,208,99,241,72,284,66,42,8,12,49,66,81,117
35,22430,9477,12953,5712,12348,4370,6398,14628,828,210,366,3174,4289,5448,3807
36,23152,11845,11307,7663,12130,3359,16720,3701,1964,266,501,3033,3598,4376,4482
37,31320,15543,15777,10456,16339,4525,19928,8667,1710,343,672,4137,4952,6082,5693
38,10071,4391,5680,2077,5438,2556,2129,7147,473,91,231,1241,1929,2651,2173
39,36424,15565,20859,7641,19782,9001,9203,24267,1895,342,717,4714,7052,9351,7666
40,8468,4253,4215,1418,5880,1170,7152,479,640,52,145,601,1204,1949,3296
41,22913,10827,12086,5542,13585,3786,11237,9549,1498,159,470,2470,3783,5228,5890
42,34799,16190,18609,8894,20124,5781,13074,19167,1622,274,662,4207,6100,8205,7393
43,182,93,89,50,92,40,102,42,23,5,10,15,27,43,47
44,10097,5210,4887,2068,5823,2206,9024,607,356,35,75,674,1578,2310,3467
45,8186,4026,4160,1822,4669,1695,3078,950,3952,64,142,1116,1285,1620,2343
46,1853,960,893,346,1008,499,1580,156,85,14,18,160,274,468,605
47,11617,5241,6376,3303,6367,1947,5503,5273,418,179,244,1868,2104,2517,1825
48,19968,11208,8760,4830,10971,4167,15229,1668,2548,134,389,1560,2658,3949,6971
49,18607,8761,9846,4308,11587,2712,10897,5823,1362,130,395,1765,2979,4147,5408
50,8282,4613,3669,2083,4952,1247,5908,963,1193,66,152,638,1089,1633,2839
51,17846,7839,10007,3264,10131,4451,5939,10936,463,139,369,2359,3453,4842,3928
52,5130,2570,2560,874,3381,875,4282,349,375,35,89,381,725,1140,2010
53,10028,5033,4995,2089,5768,2171,6598,795,2364,109,162,1396,1693,2122,2728
54,2415,1215,1200,377,1650,388,1832,277,233,10,63,208,387,560,883
55,18436,8099,10337,3678,9566,5192,12149,4462,1429,137,259,2040,3296,4217,5205
56,19098,9458,9640,4354,10573,4171,11460,4312,2703,227,396,2946,3445,4230,4123
57,1179,619,560,277,652,250,778,138,212,24,27,207,218,229,248
58,3286,1658,1628,595,1903,788,2847,246,138,20,35,281,530,771,1109
59,140,61,79,28,71,41,79,30,21,1,9,22,28,27,35
60,7969,3665,4304,2093,4460,1416,4134,3233,286,128,188,1334,1501,1759,1282
61,47563,20997,26566,13105,26161,8297,19215,24998,2104,335,911,5392,8307,10730,10029
62,18434,8336,10098,4679,9931,3824,8134,9201,646,119,334,2201,3307,4248,3999
63,19628,9511,10117,4967,10694,3967,11148,5644,2052,314,470,3195,3644,4141,3681
64,10118,4975,5143,1716,5507,2895,6419,480,3042,50,127,938,1558,2273,3633
65,5257,2595,2662,1271,3276,710,3263,1015,843,33,103,466,711,1087,1722
66,4304,2135,2169,814,2855,635,2663,1017,515,36,73,409,649,995,1437
67,18439,8990,9449,3685,10701,4053,12070,1125,4829,149,266,1952,2950,3851,6001
68,15825,8425,7400,3678,8952,3195,12046,1700,1686,102,291,1322,2206,3150,5469
69,24223,11625,12598,6096,13325,4802,12433,9847,1051,333,559,3844,4572,5459,4252
70,8709,4392,4317,2079,4696,1934,4794,2857,743,115,200,1353,1658,1969,1650
71,24503,10611,13892,5074,13222,6207,6057,16786,1034,204,422,3264,4902,6278,4985
72,23495,9914,13581,4950,12742,5803,5559,16563,802,205,366,3234,4646,6153,4512
73,11716,5860,5856,2391,6383,2942,5827,1041,4495,116,237,1537,1934,2471,3383
74,23691,10949,12742,6344,13227,4120,12201,9215,1481,288,506,3226,4014,5196,4911
75,25205,12028,13177,6839,13813,4553,15046,6799,2589,266,505,3075,3928,5246,6117
76,36094,15983,20111,8961,20107,7026,12333,20930,1736,404,691,5277,6918,8572,6366
77,11612,5176,6436,2929,6372,2311,3776,7020,480,134,202,1701,2228,2767,1987
78,15232,7059,8173,4103,8456,2673,8213,5881,560,248,330,2585,2828,3318,2398
79,23766,11964,11802,7985,11913,3868,18836,1556,2762,142,470,1646,2874,4195,7066
80,19449,9641,9808,5671,11080,2698,14229,2382,2284,169,385,1972,2808,3822,5176
81,13534,5887,7647,3092,7447,2995,4161,8584,397,128,264,1862,2630,3415,2535
82,33757,17342,16415,7267,18924,7566,18664,2885,11196,380,632,4855,5633,6981,9021
83,10842,5409,5433,2208,6274,2360,5581,849,4122,93,197,1373,1682,2237,3342
