tz,total,male,female,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
3,4989,1863,3126,892,2774,1323,2513,1968,386,39,83,637,941,1287,1232
4,2717,1310,1407,688,1506,523,1884,512,251,24,46,350,434,599,646
5,1191,658,533,319,631,241,960,139,87,0,5,96,181,257,338
6,2495,1070,1425,491,1315,689,1907,330,206,20,32,167,453,540,844
7,17223,8980,8243,4006,9611,3606,12137,2789,1910,143,244,2238,3083,3795,4101
8,11,6,5,1,9,1,7,1,1,2,0,4,2,2,2
9,3656,1708,1948,776,2058,822,2295,615,666,28,52,416,588,840,1036
10,3021,1558,1463,573,1754,694,1364,1212,359,33,53,459,610,715,664
11,4084,2065,2019,805,2340,939,2676,826,491,21,70,498,675,886,1220
12,1116,665,451,150,741,225,795,129,143,14,35,43,183,191,549
13,21540,13028,8512,4678,14047,2815,15419,2205,3361,169,386,1163,2011,3377,10311
14,17232,7800,9432,3839,9201,4192,12186,2879,1764,158,245,2024,2902,3904,4563
15,4400,2015,2385,1584,2002,814,3109,747,438,27,79,445,626,818,927
16,11741,5398,6343,2450,6545,2746,7319,2161,1998,80,183,1341,1882,2755,3313
17,14566,6528,8038,3494,8269,2803,8922,4472,854,117,201,1974,2793,3196,3109
18,9810,4618,5192,1835,5711,2264,6072,2745,661,134,198,1457,1854,2250,2414
19,5959,2863,3096,1149,3273,1537,3604,1498,735,46,76,581,1013,1407,1809
20,7848,3696,4152,2210,3926,1712,5667,1497,469,71,144,971,1146,1558,1963
21,9440,4345,5095,1852,5356,2232,6653,1164,1414,81,128,1193,1554,2101,2740
22,16136,6965,9171,3296,8769,4071,10435,2861,2518,121,201,1983,2812,3588,4457
23,13605,6765,6840,3304,7247,3054,9816,2481,1044,88,176,1266,2329,3121,3585
24,2587,1293,1294,575,1412,600,1614,692,208,27,46,378,474,600,560
25,27777,16457,11320,5209,16803,5765,15344,9086,2640,226,481,2888,4887,6932,7861
26,50264,20012,30252,10565,27400,12299,35669,9581,4045,326,643,5886,8879,11483,13451
27,740,399,341,116,389,235,518,127,79,4,12,56,92,132,344
28,6762,2976,3786,1087,3914,1761,3553,2084,971,62,92,771,1105,1766,2033
29,12268,4344,7924,1618,6967,3683,7199,2921,1783,128,237,1727,2236,2979,3708
30,503,216,287,105,305,93,351,116,19,8,9,103,102,108,85
31,869,428,441,238,413,218,633,178,40,5,13,79,130,230,192
32,5973,1840,4133,979,3355,1639,3217,2205,365,58,128,1010,1184,1443,1357
33,15811,6591,9220,3500,8750,3561,9713,4488,1173,138,299,1858,2760,3562,4131
34,3504,2060,1444,874,1906,724,2136,795,467,35,71,537,667,771,655
35,7195,3326,3869,1575,4172,1448,3607,2777,664,58,89,885,1237,1649,1849
36,13133,5887,7246,2355,7492,3286,7847,3254,1617,190,225,2171,2519,3103,2985
37,13384,6613,6771,2393,7676,3315,7065,3966,2005,148,200,1943,2452,3339,3257
38,1432,647,785,316,770,346,646,622,140,4,20,185,256,317,358
39,9342,4626,4716,2005,5221,2116,4827,3665,677,54,119,1135,1702,2208,2292
40,4544,2334,2210,1025,2622,897,3230,839,344,31,100,480,743,995,1301
41,10718,4848,5870,3405,5571,1742,5863,3767,779,103,206,1207,1693,2183,2230
42,13510,5724,7786,2911,7605,2994,6152,5818,1186,132,222,1594,2261,3350,3394
43,2941,1404,1537,541,1737,663,1935,722,215,14,55,291,495,717,897
44,7032,4050,2982,1685,3736,1611,5631,959,332,37,73,656,1311,1604,1776
45,12402,5957,6445,1841,7398,3163,4939,1661,5563,44,195,1713,1999,2667,4182
