pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2015-12-31 00:15:00,7.8,46.0,6.1,43.0,89.0,7.4,4.6,,,40,NE,4.0,2.5,1018.2,30.07,6.6,43.9,,,0.5,0.02,Light Rain,rain,0,1,0,0,0,0
2015-12-31 00:42:00,7.8,46.0,6.1,43.0,89.0,7.4,4.6,,,0,Variable,6.4,4.0,1017.8,30.06,6.6,43.9,,,0.8,0.03,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 00:51:00,7.8,46.0,6.1,43.0,89.0,5.6,3.5,,,20,NNE,8.0,5.0,1017.0,30.04,7.1,44.8,,,0.8,0.03,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 01:51:00,7.2,45.0,5.6,42.1,90.0,7.4,4.6,,,0,Variable,12.9,8.0,1016.5,30.02,5.9,42.6,,,0.3,0.01,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 02:51:00,7.2,45.0,5.6,42.1,90.0,0.0,0.0,,,0,North,12.9,8.0,1016.7,30.03,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 03:28:00,6.7,44.1,5.0,41.0,89.0,7.4,4.6,,,300,WNW,12.9,8.0,1017.2,30.04,5.3,41.5,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 03:40:00,7.2,45.0,5.0,41.0,86.0,0.0,0.0,,,0,North,12.9,8.0,1016.8,30.03,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 03:51:00,7.2,45.0,5.0,41.0,86.0,7.4,4.6,,,310,NW,14.5,9.0,1015.9,30.0,5.9,42.6,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 04:22:00,7.2,45.0,5.0,41.0,86.0,5.6,3.5,,,280,West,14.5,9.0,1016.8,30.03,6.4,43.5,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 04:51:00,7.2,45.0,5.6,42.1,90.0,5.6,3.5,,,270,West,11.3,7.0,1016.2,30.01,6.4,43.5,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 05:14:00,7.2,45.0,5.0,41.0,86.0,0.0,0.0,,,0,North,12.9,8.0,1017.2,30.04,,,,,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0
2015-12-31 05:51:00,7.8,46.0,5.6,42.1,86.0,5.6,3.5,,,0,Variable,16.1,10.0,1016.6,30.02,7.1,44.8,,,,,Clear,clear,0,0,0,0,0,0
2015-12-31 06:51:00,7.8,46.0,5.6,42.1,86.0,7.4,4.6,,,0,Variable,16.1,10.0,1016.9,30.03,6.6,43.9,,,,,Clear,clear,0,0,0,0,0,0
2015-12-31 07:14:00,7.8,46.0,5.6,42.1,86.0,7.4,4.6,,,270,West,14.5,9.0,1018.2,30.07,6.6,43.9,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2015-12-31 07:28:00,8.3,46.9,5.6,42.1,83.0,7.4,4.6,,,290,WNW,16.1,10.0,1018.2,30.07,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 07:51:00,8.3,46.9,5.6,42.1,83.0,5.6,3.5,,,290,WNW,14.5,9.0,1017.7,30.06,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 08:51:00,8.3,46.9,5.0,41.0,80.0,7.4,4.6,,,0,Variable,16.1,10.0,1018.5,30.08,,,,,,,Clear,clear,0,0,0,0,0,0
2015-12-31 09:51:00,8.3,46.9,2.8,37.0,68.0,9.3,5.8,,,300,WNW,16.1,10.0,1019.0,30.09,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 10:51:00,8.3,46.9,2.2,36.0,66.0,16.7,10.4,,,310,NW,16.1,10.0,1018.9,30.09,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 11:51:00,8.3,46.9,1.1,34.0,61.0,14.8,9.2,29.6,18.4,310,NW,16.1,10.0,1017.7,30.06,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 12:51:00,8.3,46.9,1.1,34.0,61.0,9.3,5.8,,,0,Variable,16.1,10.0,1017.2,30.04,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 13:51:00,8.3,46.9,0.6,33.1,59.0,9.3,5.8,,,300,WNW,16.1,10.0,1016.9,30.03,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 14:51:00,8.9,48.0,0.6,33.1,56.0,,,,,0,North,16.1,10.0,1016.7,30.03,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 15:51:00,8.3,46.9,0.6,33.1,59.0,9.3,5.8,,,0,Variable,16.1,10.0,1017.9,30.06,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 16:51:00,7.8,46.0,-1.1,30.0,54.0,13.0,8.1,,,290,WNW,16.1,10.0,1018.0,30.06,5.5,41.9,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 17:51:00,7.8,46.0,-0.6,30.9,56.0,7.4,4.6,,,300,WNW,16.1,10.0,1018.5,30.08,6.6,43.9,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 18:51:00,7.2,45.0,-1.1,30.0,56.0,5.6,3.5,,,0,Variable,16.1,10.0,1018.4,30.08,6.4,43.5,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 19:51:00,7.2,45.0,-2.2,28.0,52.0,9.3,5.8,,,0,Variable,16.1,10.0,1018.8,30.09,5.5,41.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 20:51:00,6.7,44.1,-2.8,27.0,51.0,16.7,10.4,31.5,19.6,300,WNW,16.1,10.0,1019.1,30.1,3.6,38.6,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 21:51:00,6.1,43.0,-3.3,26.1,51.0,,,,,0,North,16.1,10.0,1019.0,30.09,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 22:51:00,5.6,42.1,-2.2,28.0,58.0,11.1,6.9,,,300,WNW,16.1,10.0,1018.8,30.09,3.2,37.7,,,,,Overcast,cloudy,0,0,0,0,0,0
2015-12-31 23:51:00,5.6,42.1,-3.3,26.1,53.0,7.4,4.6,,,0,Variable,16.1,10.0,1018.5,30.08,4.0,39.2,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 00:51:00,5.6,42.1,-3.9,25.0,51.0,7.4,4.6,,,0,Variable,16.1,10.0,1017.9,30.06,4.0,39.2,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 01:51:00,5.0,41.0,-3.9,25.0,53.0,5.6,3.5,,,0,Variable,16.1,10.0,1017.8,30.06,3.9,39.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 02:51:00,5.0,41.0,-3.3,26.1,55.0,7.4,4.6,,,280,West,16.1,10.0,1017.7,30.06,3.3,38.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 03:51:00,5.0,41.0,-3.3,26.1,55.0,14.8,9.2,,,280,West,16.1,10.0,1017.7,30.06,1.8,35.2,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 04:51:00,4.4,39.9,-3.3,26.1,58.0,16.7,10.4,25.9,16.1,270,West,16.1,10.0,1017.0,30.04,0.8,33.4,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 05:51:00,4.4,39.9,-3.3,26.1,58.0,11.1,6.9,,,290,WNW,16.1,10.0,1017.5,30.05,1.7,35.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 06:51:00,3.9,39.0,-3.3,26.1,60.0,0.0,0.0,,,0,North,16.1,10.0,1017.7,30.06,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 07:51:00,3.9,39.0,-3.9,25.0,57.0,11.1,6.9,,,280,West,16.1,10.0,1017.6,30.05,1.1,34.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 08:51:00,3.9,39.0,-4.4,24.1,55.0,11.1,6.9,,,260,West,16.1,10.0,1018.0,30.06,1.1,34.0,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2016-01-01 09:51:00,4.4,39.9,-3.9,25.0,55.0,7.4,4.6,,,290,WNW,16.1,10.0,1018.0,30.06,2.6,36.7,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 10:51:00,4.4,39.9,-4.4,24.1,53.0,9.3,5.8,31.5,19.6,0,Variable,16.1,10.0,1017.4,30.05,2.1,35.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 11:51:00,4.4,39.9,-5.0,23.0,51.0,14.8,9.2,,,270,West,16.1,10.0,1016.4,30.02,1.1,33.9,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 12:51:00,4.4,39.9,-5.0,23.0,51.0,22.2,13.8,31.5,19.6,280,West,16.1,10.0,1015.4,29.99,0.1,32.1,,,,,Overcast,cloudy,0,0,0,0,0,0
