capacity,external_id,has_kiosk,lat,lon,name,region_id,rental_methods,rental_url,short_name,station_id,eightd_has_key_dispenser,bikes_availability,description,docks_availability,id_num,services_name,schedule_description,service_type
37,66db6aae-0aca-11e7-82f6-3863bb44ef7c,True,40.72217444,-73.98368779,E 2 St & Avenue B,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=301,5515.02,301,False,UNLIMITED,Citi Bike Station Valet attendant service available,UNLIMITED,c36f6075-0d24-479b-8018-30790d303769,Valet Service,,ATTENDED_SERVICE
52,66dc1beb-0aca-11e7-82f6-3863bb44ef7c,True,40.72740794,-73.98142006,E 10 St & Avenue A,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=445,5659.05,445,False,UNLIMITED,Citi Bike Station Valet attendant service available,UNLIMITED,2f6485e5-7604-4c91-b32b-fe7173398845,Valet Service,,ATTENDED_SERVICE
34,66dc4dc3-0aca-11e7-82f6-3863bb44ef7c,True,40.73314259,-73.97573881,E 20 St & FDR Drive,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=487,5886.02,487,False,UNLIMITED,Citi Bike Valet station attendant service available,UNLIMITED,471a101b-a45d-4495-9adf-364b7b014ffb,Valet Service,,ATTENDED_SERVICE
44,66dc7802-0aca-11e7-82f6-3863bb44ef7c,True,40.73221853,-73.98165557,1 Ave & E 16 St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=504,5779.08,504,False,UNLIMITED,Citi Bike Valet station attendant service available,UNLIMITED,cde236b8-4fa7-418c-886f-a4f4ab2cb784,Valet Service,,ATTENDED_SERVICE
39,66db237e-0aca-11e7-82f6-3863bb44ef7c,True,40.76727216,-73.99392888,W 52 St & 11 Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=72,6926.01,72,False,,,,,,,
33,66db269c-0aca-11e7-82f6-3863bb44ef7c,True,40.71911552,-74.00666661,Franklin St & W Broadway,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=79,5430.08,79,False,,,,,,,
27,66db277a-0aca-11e7-82f6-3863bb44ef7c,True,40.71117416,-74.00016545,St James Pl & Pearl St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=82,5167.06,82,False,,,,,,,
62,66db281e-0aca-11e7-82f6-3863bb44ef7c,True,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=83,4354.07,83,False,,,,,,,
19,66db2953-0aca-11e7-82f6-3863bb44ef7c,True,40.69608941,-73.97803415,Park Ave & St Edwards St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=119,4700.06,119,False,,,,,,,
19,66db29e6-0aca-11e7-82f6-3863bb44ef7c,True,40.68676793,-73.95928168,Lexington Ave & Classon Ave,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=120,4452.03,120,False,,,,,,,
31,66db2a71-0aca-11e7-82f6-3863bb44ef7c,True,40.73172428,-74.00674436,Barrow St & Hudson St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=127,5805.05,127,False,,,,,,,
30,66db2afe-0aca-11e7-82f6-3863bb44ef7c,True,40.72710258,-74.00297088,MacDougal St & Prince St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=128,5687.04,128,False,,,,,,,
24,66db2d2b-0aca-11e7-82f6-3863bb44ef7c,True,40.69239502,-73.99337909,Clinton St & Joralemon St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=143,4605.04,143,False,,,,,,,
19,66db2db5-0aca-11e7-82f6-3863bb44ef7c,True,40.69839895,-73.98068914,Nassau St & Navy St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=144,4812.02,144,False,,,,,,,
39,66db2e3a-0aca-11e7-82f6-3863bb44ef7c,True,40.71625008,-74.0091059,Hudson St & Reade St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=146,5359.10,146,False,,,,,,,
29,66db2f4c-0aca-11e7-82f6-3863bb44ef7c,True,40.7208736,-73.98085795,E 2 St & Avenue C,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=150,5476.03,150,False,,,,,,,
33,66db2fd0-0aca-11e7-82f6-3863bb44ef7c,True,40.722103786686034,-73.99724900722504,Cleveland Pl & Spring St,71,"['KEY', 'CREDITCARD']",http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=151,5492.05,151,False,,,,,,,
