is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,eightd_has_available_keys,id_num
1,1,0,1541436870,37,5,13,2,0,281,True,32461582-cd1e-4ecf-a5ea-563593fa7009
1,1,0,1541436617,9,0,22,2,0,304,False,a58d9e34-2f28-40eb-b4a6-c8c01375657a
1,1,0,1541437034,8,1,44,0,1,359,False,2e104e31-606a-44af-8b25-ceaffc338489
1,1,1,1541436842,26,2,17,0,0,377,False,6628a325-b5ea-45be-86d0-adfb59293176
1,1,0,1541437025,19,2,18,0,1,402,False,37a1ae1b-3dd6-4876-8c57-572aaac97981
1,1,0,1541436778,18,0,10,1,0,426,True,b02a9e74-7659-470b-a6c0-48bf3027d2fc
1,1,0,1541437076,14,3,34,0,0,491,False,6cd74724-ffdd-45fa-aac6-952dd624b738
1,1,0,1541435464,5,1,33,0,0,520,False,f55c69d4-34f0-4173-a175-a2148132ace8
1,1,0,1541436284,33,0,20,0,0,3223,False,6f2b7047-f75f-46d1-bb00-04c5cfd0ee48
1,1,0,1541436810,16,0,24,1,0,3443,False,286d75b2-088f-4a79-bf7d-223928be711c
1,1,1,1541436290,10,0,29,0,0,72,False,
1,1,1,1541435597,25,4,4,0,0,79,False,
1,1,1,1541433147,23,1,3,0,0,82,False,
0,0,0,1,0,0,0,0,0,83,False,
1,1,1,1541427583,4,2,13,0,0,119,False,
1,1,1,1541428869,9,0,10,0,0,120,False,
1,1,1,1541436637,20,0,11,0,0,127,False,
1,1,1,1541436845,27,2,1,0,0,128,False,
1,1,1,1541435331,18,2,4,0,0,143,False,
1,1,1,1541436978,18,0,1,0,0,144,False,
1,1,1,1541435917,7,0,32,0,0,146,False,
1,1,1,1541437069,2,0,27,0,0,150,False,
1,1,1,1541436735,14,1,18,0,0,151,False,
1,1,1,1541435855,5,0,18,0,0,157,False,
1,1,1,1541436831,24,0,11,0,0,161,False,
1,1,1,1541434914,38,4,5,0,0,164,False,
1,1,1,1541436296,28,2,15,0,0,167,False,
1,1,1,1541437085,44,1,2,0,0,168,False,
1,1,1,1541436851,23,0,28,0,0,173,False,
1,1,1,1541436585,24,2,4,0,0,174,False,
1,1,1,1541436979,31,2,12,0,0,195,False,
1,1,1,1541437070,21,0,7,0,0,212,False,
1,1,1,1541423447,8,3,12,0,0,216,False,
1,1,1,1541428759,23,2,13,1,0,217,True,
1,1,1,1541434146,8,0,24,1,0,223,False,
1,1,1,1541436727,32,3,20,0,0,228,False,
1,1,1,1541437038,15,2,6,0,1,229,False,
1,1,1,1541436409,12,1,10,0,0,232,True,
1,1,1,1541436926,1,3,35,0,0,236,False,
1,1,1,1541437030,2,1,36,0,0,237,False,
